##     Pa11y CI results     ##

Running Pa11y on 155 URLs:
 > https://athletics.kcc.edu/404.html - 0 errors
 > https://athletics.kcc.edu/about/ - 0 errors
 > https://athletics.kcc.edu/baseball/ - 0 errors
 > https://athletics.kcc.edu/support/cash-bash/ - 0 errors
 > https://athletics.kcc.edu/support/cavalier-club/ - 0 errors
 > https://athletics.kcc.edu/support/donate/ - 0 errors
 > https://athletics.kcc.edu/about/equity/ - 0 errors
 > https://athletics.kcc.edu/facilities/ - 0 errors
 > https://athletics.kcc.edu/facilities/fitness-center/ - 0 errors
 > https://athletics.kcc.edu/support/golf-outing/ - 0 errors
 > https://athletics.kcc.edu/ - 3 errors
 > https://athletics.kcc.edu/mens-basketball/ - 0 errors
 > https://athletics.kcc.edu/womens-soccer/news/ - 0 errors
 > https://athletics.kcc.edu/soccer/news/ - 0 errors
 > https://athletics.kcc.edu/mens-basketball/news/ - 0 errors
 > https://athletics.kcc.edu/volleyball/news/ - 0 errors
 > https://athletics.kcc.edu/softball/news/ - 0 errors
 > https://athletics.kcc.edu/womens-basketball/news/ - 0 errors
 > https://athletics.kcc.edu/baseball/news/ - 0 errors
 > https://athletics.kcc.edu/news/ - 0 errors
 > https://athletics.kcc.edu/facilities/police-officer-fitness-test/ - 0 errors
 > https://athletics.kcc.edu/recruitment/ - 0 errors
 > https://athletics.kcc.edu/womens-soccer/roster/ - 0 errors
 > https://athletics.kcc.edu/soccer/roster/ - 0 errors
 > https://athletics.kcc.edu/mens-basketball/roster/ - 0 errors
 > https://athletics.kcc.edu/volleyball/roster/ - 0 errors
 > https://athletics.kcc.edu/softball/roster/ - 0 errors
 > https://athletics.kcc.edu/womens-basketball/roster/ - 0 errors
 > https://athletics.kcc.edu/baseball/roster/ - 0 errors
 > https://athletics.kcc.edu/womens-soccer/schedule/ - 0 errors
 > https://athletics.kcc.edu/soccer/schedule/ - 0 errors
 > https://athletics.kcc.edu/mens-basketball/schedule/ - 0 errors
 > https://athletics.kcc.edu/volleyball/schedule/ - 0 errors
 > https://athletics.kcc.edu/softball/schedule/ - 0 errors
 > https://athletics.kcc.edu/womens-basketball/schedule/ - 0 errors
 > https://athletics.kcc.edu/baseball/schedule/ - 0 errors
 > https://athletics.kcc.edu/soccer/ - 0 errors
 > https://athletics.kcc.edu/softball/ - 0 errors
 > https://athletics.kcc.edu/facilities/sports-facilities/ - 0 errors
 > https://athletics.kcc.edu/sports/ - 0 errors
 > https://athletics.kcc.edu/about/staff/ - 0 errors
 > https://athletics.kcc.edu/womens-soccer/stats/ - 0 errors
 > https://athletics.kcc.edu/soccer/stats/ - 0 errors
 > https://athletics.kcc.edu/mens-basketball/stats/ - 0 errors
 > https://athletics.kcc.edu/volleyball/stats/ - 0 errors
 > https://athletics.kcc.edu/softball/stats/ - 0 errors
 > https://athletics.kcc.edu/womens-basketball/stats/ - 0 errors
 > https://athletics.kcc.edu/baseball/stats/ - 0 errors
 > https://athletics.kcc.edu/stream-games/ - 0 errors
 > https://athletics.kcc.edu/about/student-athletes/ - 0 errors
 > https://athletics.kcc.edu/support/ - 0 errors
 > https://athletics.kcc.edu/volleyball/ - 0 errors
